entity,id,region,travel,ppp,passport,wheretolive,bankaccount,contract,outsidehome,outsidecountry
Brunei Darussalam,BRN,Southeastern Asia,0.67,28572.15,1,0,1,1,0,1
Cambodia,KHM,Southeastern Asia,1,1385.26,1,1,1,1,1,1
Indonesia,IDN,Southeastern Asia,1,3837.65,1,1,1,1,1,1
Laos,LAO,Southeastern Asia,1,2423.85,1,1,1,1,1,1
Malaysia,MYS,Southeastern Asia,0.67,10254.23,1,0,1,1,0,1
Myanmar,MMR,Southeastern Asia,0.83,1291.54,0,1,1,1,1,1
Philippines,PHL,Southeastern Asia,0.83,3123.23,0,1,1,1,1,1
Singapore,SGP,Southeastern Asia,1,60913.75,1,1,1,1,1,1
Thailand,THA,Southeastern Asia,1,6592.91,1,1,1,1,1,1
Timor-Leste,TLS,Southeastern Asia,1,1294.72,1,1,1,1,1,1
Vietnam,VNM,Southeastern Asia,1,2365.62,1,1,1,1,1,1
Afghanistan,AFG,Southern Asia,0.67,556.3,1,0,1,1,0,1
Bangladesh,BGD,Southern Asia,1,1563.91,1,1,1,1,1,1
Bhutan,BTN,Southern Asia,1,3286.57,1,1,1,1,1,1
India,IND,Southern Asia,1,1981.65,1,1,1,1,1,1
Nepal,NPL,Southern Asia,1,911.44,1,1,1,1,1,1
Pakistan,PAK,Southern Asia,0.83,1464.99,0,1,1,1,1,1
Sri Lanka,LKA,Southern Asia,1,4077.04,1,1,1,1,1,1
Angola,AGO,Sub-Saharan Africa,1,4095.81,1,1,1,1,1,1
Benin,BEN,Sub-Saharan Africa,0.67,1136.59,0,0,1,1,1,1
Botswana,BWA,Sub-Saharan Africa,0.83,7893.21,0,1,1,1,1,1
Burkina Faso,BFA,Sub-Saharan Africa,0.83,738.27,1,0,1,1,1,1
Burundi,BDI,Sub-Saharan Africa,1,293,1,1,1,1,1,1
Cameroon,CMR,Sub-Saharan Africa,0.5,1425.11,0,0,0,1,1,1
Cape Verde,CPV,Sub-Saharan Africa,1,3292.65,1,1,1,1,1,1
Central African Republic,CAF,Sub-Saharan Africa,0.83,450.9,1,0,1,1,1,1
Chad,TCD,Sub-Saharan Africa,0.67,665.95,1,0,0,1,1,1
Comoros,COM,Sub-Saharan Africa,0.83,1323.81,1,0,1,1,1,1
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,1,467.07,1,1,1,1,1,1
"Congo, Rep.",COG,Sub-Saharan Africa,0.67,1767.89,0,0,1,1,1,1
Cote d'Ivoire,CIV,Sub-Saharan Africa,1,2111.03,1,1,1,1,1,1
Djibouti,DJI,Sub-Saharan Africa,1,2914.38,1,1,1,1,1,1
Equatorial Guinea,GNQ,Sub-Saharan Africa,0.5,9667.91,1,0,0,0,1,1
Eritrea,ERI,Sub-Saharan Africa,1,0,1,1,1,1,1,1
Eswatini,SWZ,Sub-Saharan Africa,0.67,3953.09,1,1,0,0,1,1
Ethiopia,ETH,Sub-Saharan Africa,1,768.52,1,1,1,1,1,1
Gabon,GAB,Sub-Saharan Africa,0.5,7230.4,0,0,0,1,1,1
Gambia,GMB,Sub-Saharan Africa,1,676.66,1,1,1,1,1,1
Ghana,GHA,Sub-Saharan Africa,1,2025.93,1,1,1,1,1,1
Guinea,GIN,Sub-Saharan Africa,0.83,856.57,1,0,1,1,1,1
Guinea-Bissau,GNB,Sub-Saharan Africa,0.67,736.73,1,0,0,1,1,1
Kenya,KEN,Sub-Saharan Africa,1,1572.34,1,1,1,1,1,1
Lesotho,LSO,Sub-Saharan Africa,1,1150.08,1,1,1,1,1,1
Liberia,LBR,Sub-Saharan Africa,1,698.7,1,1,1,1,1,1
Madagascar,MDG,Sub-Saharan Africa,0.83,515.29,0,1,1,1,1,1
Malawi,MWI,Sub-Saharan Africa,0.67,356.72,0,0,1,1,1,1
Mali,MLI,Sub-Saharan Africa,0.67,830.56,0,0,1,1,1,1
Mauritania,MRT,Sub-Saharan Africa,1,1578.11,1,1,1,1,1,1
Mauritius,MUS,Sub-Saharan Africa,1,10484.91,1,1,1,1,1,1
Mozambique,MOZ,Sub-Saharan Africa,1,461.42,1,1,1,1,1,1
Namibia,NAM,Sub-Saharan Africa,0.83,5303.31,0,1,1,1,1,1
Niger,NER,Sub-Saharan Africa,0.67,516.89,1,0,0,1,1,1
Nigeria,NGA,Sub-Saharan Africa,0.67,1968.56,0,0,1,1,1,1
Rwanda,RWA,Sub-Saharan Africa,1,772.32,1,1,1,1,1,1
Sao Tome and Principe,STP,Sub-Saharan Africa,1,1811.01,1,1,1,1,1,1
Senegal,SEN,Sub-Saharan Africa,0.83,1361.7,1,0,1,1,1,1
Seychelles,SYC,Sub-Saharan Africa,0.83,15906.08,0,1,1,1,1,1
Sierra Leone,SLE,Sub-Saharan Africa,1,499.38,1,1,1,1,1,1
Somalia,SOM,Sub-Saharan Africa,0.83,0,1,0,1,1,1,1
South Africa,ZAF,Sub-Saharan Africa,1,6132.48,1,1,1,1,1,1
South Sudan,SSD,Sub-Saharan Africa,1,0,1,1,1,1,1,1
Sudan,SDN,Sub-Saharan Africa,0.33,1111.87,0,0,1,1,0,0
Tanzania,TZA,Sub-Saharan Africa,1,1004.84,1,1,1,1,1,1
Togo,TGO,Sub-Saharan Africa,1,626.09,1,1,1,1,1,1
Uganda,UGA,Sub-Saharan Africa,0.67,747.2,0,0,1,1,1,1
Zambia,ZMB,Sub-Saharan Africa,0.83,1534.87,0,1,1,1,1,1
Zimbabwe,ZWE,Sub-Saharan Africa,1,1548.17,1,1,1,1,1,1
Austria,AUT,Western Europe,1,47549.08,1,1,1,1,1,1
Belgium,BEL,Western Europe,1,44288.51,1,1,1,1,1,1
Cyprus,CYP,Western Europe,0.83,26338.69,0,1,1,1,1,1
Denmark,DNK,Western Europe,1,57141.06,1,1,1,1,1,1
Finland,FIN,Western Europe,1,46316.75,1,1,1,1,1,1
France,FRA,Western Europe,1,38812.16,1,1,1,1,1,1
Germany,DEU,Western Europe,1,44349.59,1,1,1,1,1,1
Greece,GRC,Western Europe,1,18930.22,1,1,1,1,1,1
Iceland,ISL,Western Europe,1,71310.94,1,1,1,1,1,1
Ireland,IRL,Western Europe,1,69822.35,1,1,1,1,1,1
Italy,ITA,Western Europe,1,32406.72,1,1,1,1,1,1
Luxembourg,LUX,Western Europe,1,107627.15,1,1,1,1,1,1
Malta,MLT,Western Europe,1,27239.07,1,1,1,1,1,1
Netherlands,NLD,Western Europe,1,48675.22,1,1,1,1,1,1
Norway,NOR,Western Europe,1,75496.75,1,1,1,1,1,1
Portugal,PRT,Western Europe,1,21490.43,1,1,1,1,1,1
San Marino,SMR,Western Europe,1,45394.2,1,1,1,1,1,1
Spain,ESP,Western Europe,1,28170.43,1,1,1,1,1,1
Sweden,SWE,Western Europe,1,53791.51,1,1,1,1,1,1
Switzerland,CHE,Western Europe,1,80449.99,1,1,1,1,1,1
United Kingdom,GBR,Western Europe,1,40361.42,1,1,1,1,1,1
